id_penerbit;nama_penerbit;tempat_penerbit
PE254;Penerbit tidak tersedia;Informasi tidak tersedia
PE255;Penerbit tidak tersedia;Informasi tidak tersedia
PE256;Penerbit tidak tersedia;Informasi tidak tersedia
PE257;Penerbit tidak tersedia;Informasi tidak tersedia
PE258;Penerbit tidak tersedia;Informasi tidak tersedia
PE259;Penerbit tidak tersedia;Informasi tidak tersedia
PE260;Penerbit tidak tersedia;Informasi tidak tersedia
PE261;Penerbit tidak tersedia;Informasi tidak tersedia
PE262;Penerbit tidak tersedia;Informasi tidak tersedia
PE263;Penerbit tidak tersedia;Informasi tidak tersedia
PE264;Penerbit Unika Atma Jaya Jakarta;Informasi tidak tersedia
PE265;Perkumpulan Rumah Cemerlang Indonesia;Informasi tidak tersedia
PE266;Pinang;Informasi tidak tersedia
PE266;Pinang;Informasi tidak tersedia
PE267;Pradina Pustaka;Informasi tidak tersedia
PE267;Pradina Pustaka;Informasi tidak tersedia
PE268;Prasetiya Mulya Publishing ;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE269;Prenada Media;Informasi tidak tersedia
PE270;PT Balai Pustaka (Persero);Informasi tidak tersedia
PE270;PT Balai Pustaka (Persero);Informasi tidak tersedia
PE270;PT Balai Pustaka (Persero);Informasi tidak tersedia
PE271;PT Grafindo Media Pratama;Informasi tidak tersedia
PE272;PT Kanisius;Informasi tidak tersedia
PE272;PT Kanisius;Informasi tidak tersedia
PE273;PT Sahabat Alter Indonesia;Informasi tidak tersedia
PE274;PT. MAHONI GLOBAL;Informasi tidak tersedia
PE274;PT. MAHONI GLOBAL;Informasi tidak tersedia
PE274;PT. MAHONI GLOBAL;Informasi tidak tersedia
PE274;PT. MAHONI GLOBAL;Informasi tidak tersedia
PE275;PT. RajaGrafindo Persada;Informasi tidak tersedia
PE275;PT. RajaGrafindo Persada;Informasi tidak tersedia
PE276;PT. RajaGrafindo Persada - Rajawali Pers;Informasi tidak tersedia
PE276;PT. RajaGrafindo Persada - Rajawali Pers;Informasi tidak tersedia
PE277;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE277;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE277;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE277;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE277;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE277;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE278;Publica Indonesia Utama;Informasi tidak tersedia
PE278;Publica Indonesia Utama;Informasi tidak tersedia
PE279;Pusat Penelitian Dan Penerbitan Lembaga Penelitian Dan Pengabdian Kepada Masyarakat;Informasi tidak tersedia
